"sr_no","inclination","ambient_temp","speed","weight","battery_level","battery temperature","time","Battery_rating","charging_cycle","acceleration","battery_current","battery_voltage","humidity"
"16712","45.18","0","0","75.43","0","25.03","111006","10000","1","-5.27","0.54","12","0"
"16713","17.4","0","0","-326.91","0","21.55","112563","10000","1","4.44","0.47","12","0"
"16714","53.51","0","0","-331.04","0","23.83","113836","10000","1","-6.03","0.71","12","0"
"16715","6.29","0","0","-202.89","0","22.65","115124","10000","1","2.8","0.41","12","0"
"16716","19.99","0","0","-28.36","0","21.92","117066","10000","1","2.66","0.67","12","0"
"16717","44.35","0","0","717.99","0","25.03","118556","10000","1","-0.6","0.4","12","0"
"16718","60.01","0","0","91.28","0","21.55","120014","10000","1","-1.89","0.46","12","0"
"16719","32.67","0","0","54.01","0","23.92","121728","10000","1","0.33","0.51","12","0"
"16720","65.58","0","0","-52.89","0","21.73","122929","10000","1","3.47","0.71","12","0"
"16721","45.01","0","0","477.68","0","24.01","124396","10000","1","-4.95","0","12","0"
"16722","61.75","0","0","-6.96","0","21.46","126976","10000","1","2.11","0.47","12","0"
"16723","73.9","0","0","126.37","0","24.57","128416","10000","1","-0.56","0.66","12","0"
"16724","15.86","0","0","-59.03","0","24.94","129982","10000","1","-1.7","0.49","12","0"
"16725","-3.07","0","0","0.96","0","25.03","131352","10000","1","-0.05","0","12","0"
"16726","-1.61","0","0","-21.8","0","22.46","132812","10000","1","-0.12","0","12","0"
"16727","-4.4","0","0","5.61","0","24.38","134182","10000","1","-0.12","0","12","0"
"16728","2.18","0","0","12.39","0","24.85","135881","10000","1","-0.36","0","12","0"
"16729","10.44","0","0","188.84","0","23.19","137543","10000","1","4.56","0.85","11.74","0"
"16730","49.28","0","0","350.75","0","22.46","139311","10000","1","-2.82","0.87","12","0"
"16731","43.82","0","0","-59.29","0","23.56","140798","10000","1","-1.19","0.43","12","0"
"16732","30.34","0","0","93.83","0","22.83","141992","10000","1","-2.16","0.54","12","0"
"16733","41.46","0","0","528.08","0","22.46","143194","10000","1","-0.62","0.61","12","0"
"16734","32.78","0","0","-332.98","0","21.46","144590","10000","1","1.46","0.51","12","0"
"16735","44.11","0","0","-183.21","0","23.56","146519","10000","1","-4.08","0.6","12","0"
"16736","53.67","0","0","-429.38","0","24.01","152365","10000","1","-3.63","0.46","12","0"
"16737","40.19","0","0","285.72","0","23.01","153805","10000","1","2.11","0.59","12","0"
"16738","50.63","0","0","5.84","0","23.56","155141","10000","1","2.19","0.56","12","0"
"16739","49.88","0","0","-134.36","0","21.83","157074","10000","1","-3.1","0.59","12","0"
"16740","26.35","0","0","-99.92","0","21.36","158633","10000","1","-0.05","0.53","12","0"
"16741","42.07","0","0","-185.31","0","22.01","160155","10000","1","2.7","0.44","12","0"
"16742","63.33","0","0","-125.8","0","22.56","161613","10000","1","-0.64","0.63","12","0"
"16743","69.19","0","0","31.01","0","23.01","163072","10000","1","-3.99","1.24","11.74","0"
"16744","44.92","0","0","183.11","0","23.74","164270","10000","1","-3.79","0.74","12","0"
"16745","55.99","0","0","439.08","0","21.55","166546","10000","1","0.32","0.66","12","0"
"16746","29.09","0","0","217.3","0","22.56","168732","10000","1","2.21","0.83","11.99","0"
"16747","6.22","0","0","89.08","0","22.19","169843","10000","1","4.92","0.71","12","0"
"16748","51.19","0","0","508.5","0","22.74","172127","10000","1","3.05","1","12","0"
"16749","45.94","0","0","404.2","0","22.19","173615","10000","1","-2.43","0.31","12","0"
"16750","75.45","0","0","9.69","0","23.65","174837","10000","1","5.21","0.63","12","0"
"16751","32.14","0","0","-207.75","0","21.55","177230","10000","1","-0.03","0.79","12","0"
"16752","27.26","0","0","-142.68","0","22.19","178992","10000","1","-0.1","0.97","11.99","0"
"16753","43.51","0","0","144.79","0","20.61","180422","10000","1","3.12","0.45","12","0"
"16754","29.73","0","0","-106.49","0","23.83","181861","10000","1","-8.39","0.59","12","0"
"16755","79.53","0","0","-261.98","0","20.99","183057","10000","1","-0.52","0.39","12","0"
"16756","48.97","0","0","-203.25","0","20.33","184836","10000","1","0.45","0.68","12","0"
"16757","32.73","0","0","-41.35","0","22.83","186250","10000","1","1.01","0.32","12","0"
"16758","42.19","0","0","130.3","0","23.28","188646","10000","1","-1.24","0.49","12","0"
"16759","74.24","0","0","-381.5","0","20.99","189882","10000","1","3.99","0.39","12","0"
"16760","28.94","0","0","-370.48","0","23.83","191329","10000","1","7.54","1.35","11.61","0"
"16761","7.25","0","0","-553.62","0","23.56","192759","10000","1","-5.58","0.54","12","0"
"16762","38.62","0","0","-444.98","0","20.71","194042","10000","1","0.97","0.66","12","0"
"16763","52.44","0","0","78.3","0","23.1","195526","10000","1","0.28","0.68","12","0"
"16764","43.26","0","0","-538.33","0","22.01","197217","10000","1","-2.07","0.52","12","0"
"16765","64.16","0","0","-20.55","0","21.09","198959","10000","1","9.13","0.58","12","0"
"16766","29.45","0","0","-259.01","0","23.19","200215","10000","1","0.47","0.65","12","0"
"16767","27.62","0","0","496.71","0","23.83","201678","10000","1","0.81","0.75","12","0"
"16768","53.93","0","0","-13.43","0","22.01","202962","10000","1","-2.76","0.54","12","0"
"16769","46.73","0","0","-205.45","0","23.74","207775","10000","1","-1.78","0.59","12","0"
"16770","54.29","0","0","-297.5","0","23.74","209483","10000","1","1","0.66","12","0"
"16771","83.47","0","0","335.18","0","23.1","211032","10000","1","-4","0.59","12","0"
"16772","74.65","0","0","-13.11","0","22.56","212764","10000","1","-2.79","0.82","12","0"
"16773","51.44","0","0","-20.51","0","23.28","214175","10000","1","-2.02","0.22","12","0"
"16774","37.1","0","0","352.59","0","20.42","215539","10000","1","-1.05","0.53","12","0"
"16775","64.87","0","0","232","0","23.28","217977","10000","1","-4.28","1.33","11.62","0"
"16776","1.68","0","0","90.78","0","22.19","219439","10000","1","-1.34","0","12","0"
"16777","10.34","0","0","155.77","0","23.01","220742","10000","1","2.2","0.48","12","0"
"16778","27.6","0","0","-104.61","0","23.1","222181","10000","1","2.77","0.71","11.96","0"
"16779","35.99","0","0","-382.34","0","22.28","223659","10000","1","1.03","0.43","12","0"
"16780","50.23","0","0","-6.19","0","23.37","225178","10000","1","-5.04","0.67","12","0"
"16781","37.14","0","0","61.66","0","20.04","228186","10000","1","1.27","1.06","12","0"
"16782","87.58","0","0","-525.44","0","19.94","229410","10000","1","-5.35","0.59","12","0"
"16783","60.38","0","0","-58.17","0","20.23","231068","10000","1","-3.74","1.34","11.61","0"
"16784","22.91","0","0","15.26","0","19.74","232554","10000","1","6.67","1.01","11.9","0"
"16785","27.38","0","0","-57.42","0","20.61","234371","10000","1","4.79","1.29","11.99","0"
"16786","31.46","0","0","365.36","0","23.19","235580","10000","1","-8.62","0.56","12","0"
"16787","31.94","0","0","116.44","0","20.33","237879","10000","1","3.14","0.52","12","0"
"16788","10.07","0","0","14.33","0","22.19","239332","10000","1","1.19","0.36","12","0"
"16789","51.28","0","0","2.05","0","20.23","240845","10000","1","-0.18","0.52","12","0"
"16790","17.12","0","0","-194.27","0","23.28","241995","10000","1","1.78","0.51","12","0"
"16791","63.46","0","0","-111","0","20.33","243451","10000","1","-1.62","1.15","11.79","0"
"16792","47.99","0","0","-189.7","0","21.55","245130","10000","1","2.58","1.03","11.35","0"
"16793","73.13","0","0","-147.08","0","22.1","246877","10000","1","0.46","0.29","12","0"
"16794","46.6","0","0","-222.77","0","22.37","248849","10000","1","4.58","1.3","11.36","0"
"16795","14.26","0","0","29.74","0","20.71","250049","10000","1","2.09","0.5","12","0"
"16796","29.41","0","0","-2.58","0","20.9","251505","10000","1","1.43","0.4","12","0"
